3169,亞信,26.00,+0.15,26.15,26.15,25.90,25.97,"44,001","1,142,677",34,25.85,26.00,"53,740,650",26.00,28.60,23.40
3171,新洲,13.00,0.00 ,13.00,13.00,13.00,13.00,"11,000","143,000",4,12.90,13.00,"59,203,515",13.00,14.30,11.70
3176,基亞,39.65,+3.60,39.65,39.65,39.65,39.65,"1,557,525","61,755,857",774,39.65,0.00,"138,685,505",39.65,43.60,35.70
3188,鑫龍騰,19.65,-0.35 ,20.05,20.10,19.60,19.81,"71,662","1,419,372",33,19.65,19.95,"90,295,120",19.65,21.60,17.70
3191,和進,18.50,-0.20 ,18.65,18.65,18.50,18.53,"35,002","648,736",20,18.50,18.70,"57,194,761",18.50,20.35,16.65
3202,樺晟,13.60,+0.60,13.35,13.80,13.15,13.47,"363,003","4,887,939",178,13.60,13.65,"100,161,561",13.60,14.95,12.25
3205,佰研,48.40,+1.80,48.00,49.25,47.10,48.43,"212,836","10,308,578",191,48.20,48.40,"32,772,631",48.40,53.20,43.60
3206,志豐,22.20,+0.60,21.50,22.20,21.50,21.85,"207,673","4,537,556",136,22.05,22.20,"52,859,432",22.20,24.40,20.00
3207,耀勝, ---,--- ,---,---,---,9.33,3,28,2,0.00,10.95,"43,259,225",10.65,11.70,9.59
3211,順達,46.05,+3.10,43.45,46.70,43.40,45.69,"8,482,105","387,574,980","5,576",46.00,46.05,"151,968,521",46.05,50.60,41.45
3213,茂訊,42.85,+0.25,42.75,43.00,42.20,42.73,"45,500","1,944,300",41,42.70,42.90,"58,685,547",42.85,47.10,38.60
3217,優群,30.85,-0.35 ,30.60,31.10,30.50,30.73,"499,951","15,361,235",301,30.85,30.90,"82,104,203",30.85,33.90,27.80
3218,大學光,26.10,+0.55,25.95,26.20,25.80,25.98,"202,006","5,247,306",123,26.10,26.15,"76,123,000",26.10,28.70,23.50
3219,倚強,21.75,-0.65 ,21.75,21.75,21.75,21.75,"1,001","21,771",2,21.80,23.95,"23,300,417",21.75,23.90,19.60
3221,台嘉碩,20.25,+0.75,19.80,20.55,19.75,20.15,"914,392","18,427,846",582,20.25,20.30,"102,348,210",20.25,22.25,18.25
3224,三顧,59.50,+1.10,58.40,59.70,58.40,59.41,"223,002","13,249,318",124,59.40,59.50,"58,016,045",59.50,65.40,53.60
3226,至寶電,51.60,0.00 ,51.60,52.00,51.20,51.68,"10,144","524,200",13,51.50,51.90,"64,430,573",51.60,56.70,46.45
3227,原相,118.50,+2.00,117.00,119.50,116.00,117.85,"2,334,062","275,063,316","1,646",118.50,119.00,"133,917,192",118.50,130.00,107.00
3228,金麗科,37.70,+0.20,37.50,38.10,36.90,37.58,"279,000","10,485,950",199,37.70,37.85,"67,792,705",37.70,41.45,33.95
3230,錦明,6.08,+0.08,6.02,6.09,6.02,6.03,"29,000","174,820",11,6.02,6.08,"107,746,524",6.08,6.68,5.48
3232,昱捷,24.65,-0.40 ,25.10,26.00,24.60,25.16,"169,225","4,257,505",129,24.65,24.80,"36,567,865",24.65,27.10,22.20
3234,光環,27.60,+1.30,26.25,27.75,26.25,27.12,"274,701","7,450,896",203,27.60,27.75,"72,527,692",27.60,30.35,24.85
3236,千如,31.20,+0.40,31.20,31.75,30.85,31.26,"694,042","21,697,473",491,31.15,31.20,"85,641,378",31.20,34.30,28.10
3252,海灣,16.85,-0.10 ,17.15,17.30,16.60,16.78,"72,000","1,208,350",39,16.80,17.20,"50,195,754",16.85,18.50,15.20
3259,鑫創,23.20,-0.15 ,23.35,23.35,22.60,23.03,"58,002","1,335,646",36,22.95,23.20,"80,859,553",23.20,25.50,20.90
3260,威剛,49.40,+1.10,48.70,49.80,48.60,49.12,"931,329","45,746,095",593,49.40,49.45,"224,172,374",49.40,54.30,44.50
3264,欣銓,36.45,+0.15,36.55,36.95,36.05,36.36,"2,194,870","79,795,513","1,591",36.30,36.45,"490,396,211",36.45,40.05,32.85
3265,台星科,30.70,+0.50,30.65,30.95,29.55,30.28,"818,000","24,769,850",530,30.70,30.75,"136,261,659",30.70,33.75,27.65
3268,海德威,14.50,+0.15,14.20,14.50,14.10,14.26,"25,001","356,464",17,14.40,14.50,"33,426,272",14.50,15.95,13.05
3272,東碩,32.50,+0.60,32.60,32.80,31.70,32.36,"77,280","2,500,750",65,32.50,32.55,"52,264,966",32.50,35.75,29.25
3276,宇環,12.25,-0.05 ,12.60,12.60,12.00,12.35,"11,000","135,850",4,11.90,12.25,"69,712,666",12.25,13.45,11.05
3284,太普高,17.00,+0.45,16.60,17.00,16.60,16.92,"94,003","1,590,198",43,16.90,17.00,"55,961,790",17.00,18.70,15.30
3285,微端,23.60,+0.85,23.00,23.65,22.65,23.17,"299,001","6,929,123",190,23.50,23.60,"44,109,324",23.60,25.95,21.25
3287,廣寰科,8.14,-0.47 ,8.73,8.73,7.80,8.15,"94,020","766,112",53,8.13,8.20,"43,970,483",8.14,8.95,7.33
3288,點晶,3.25,-0.22 ,3.49,3.49,3.25,3.33,"3,002","9,996",4,3.27,3.67,"56,650,148",3.25,3.57,2.93
3289,宜特,53.00,+1.70,51.30,53.20,51.20,52.03,"365,960","19,039,880",299,53.00,53.10,"63,575,121",53.00,58.30,47.70
