006201,元大富櫃50,12.27,-0.07 ,12.34,12.34,12.25,12.27,"120,000","1,472,730",29,12.25,12.27,"16,446,000",12.27,13.49,11.05
3152,璟德,214.00,-2.00 ,216.00,219.00,210.00,214.55,"91,700","19,674,500",90,214.00,217.00,"69,016,200",214.00,235.00,193.00
3162,精確,24.50,-0.50 ,24.45,24.50,24.45,24.48,"2,003","49,028",5,24.30,25.85,"126,531,342",24.50,26.95,22.05
3163,波若威,35.15,-0.50 ,35.10,35.60,35.10,35.18,"89,004","3,130,790",71,35.15,35.35,"75,300,399",35.15,38.65,31.65
3169,亞信,26.10,-0.30 ,25.40,26.20,25.40,25.86,"92,002","2,378,908",69,26.05,26.15,"53,740,650",26.10,28.70,23.50
3171,新洲,13.40,+0.20,13.00,13.50,13.00,13.19,"16,000","211,000",10,12.90,13.30,"59,203,515",13.40,14.70,12.10
3176,基亞,50.60,+4.55,49.20,50.60,46.50,49.00,"4,870,666","238,683,940","2,869",50.60,0.00,"138,685,505",50.60,55.60,45.55
3188,鑫龍騰,19.55,-0.25 ,19.55,19.55,19.55,19.62,"1,154","22,645",5,19.55,19.80,"90,295,120",19.55,21.50,17.60
3191,和進,18.60,0.00 ,18.65,18.65,18.55,18.60,"10,003","186,104",10,18.60,18.65,"57,194,761",18.60,20.45,16.75
3202,樺晟,12.85,-0.35 ,13.35,13.35,12.80,13.01,"331,175","4,308,396",182,12.85,12.95,"100,161,561",12.85,14.10,11.60
3205,佰研,53.80,-2.30 ,56.30,56.40,53.50,54.82,"731,049","40,077,937",590,53.80,53.90,"32,772,631",53.80,59.10,48.45
3206,志豐,21.85,-0.45 ,22.30,22.40,21.85,22.06,"238,287","5,257,268",109,21.85,21.90,"52,859,432",21.85,24.00,19.70
3207,耀勝,10.85,-0.10 ,10.85,10.85,10.85,10.85,"17,334","188,054",8,0.00,11.00,"43,259,225",10.85,11.90,9.77
3211,順達,43.70,-1.30 ,44.85,44.85,43.70,44.01,"2,226,862","98,008,600","1,294",43.70,44.00,"151,968,521",43.70,48.05,39.35
3213,茂訊,42.75,-0.25 ,43.00,43.00,42.60,42.73,"20,003","854,679",23,42.75,42.90,"58,685,547",42.75,47.00,38.50
3217,優群,31.50,-0.60 ,31.85,31.85,31.20,31.54,"127,156","4,009,929",101,31.50,31.55,"82,104,203",31.50,34.65,28.35
3218,大學光,26.95,-0.30 ,27.45,27.45,26.90,27.07,"67,010","1,813,672",45,26.90,27.00,"76,123,000",26.95,29.60,24.30
3219,倚強,21.50,+0.40,21.10,21.80,21.10,21.50,"6,001","129,021",7,21.00,21.45,"23,300,417",21.50,23.65,19.35
3221,台嘉碩,20.25,-0.40 ,20.65,20.65,20.10,20.29,"325,900","6,611,317",198,20.25,20.30,"102,348,210",20.25,22.25,18.25
3224,三顧,60.10,-0.20 ,60.30,60.40,59.60,60.12,"74,003","4,449,077",49,60.00,60.30,"58,016,045",60.10,66.10,54.10
3226,至寶電,51.90,-0.10 ,51.90,52.00,51.90,51.95,"17,000","883,100",8,51.80,52.00,"64,430,573",51.90,57.00,46.75
3227,原相,118.00,-2.00 ,118.50,119.50,117.00,118.14,"1,461,979","172,719,022","1,186",118.00,118.50,"133,917,192",118.00,129.50,106.50
3228,金麗科,35.10,+0.25,34.00,35.65,33.10,34.68,"626,000","21,707,800",376,35.05,35.10,"67,792,705",35.10,38.60,31.60
