006201,元大富櫃50,13.32,+0.07,13.35,13.42,13.32,13.35,"85,000","1,134,930",30,13.32,13.40,"15,946,000",13.32,14.65,11.99
3105,穩懋,166.00,+5.00,162.50,167.00,162.50,165.49,"7,242,998","1,198,638,170","4,891",166.00,166.50,"422,666,384",166.00,182.50,149.50
3114,好德,34.65,-0.55 ,35.40,35.65,34.50,34.90,"715,528","24,971,194",416,34.65,34.90,"52,014,239",34.65,38.10,31.20
3115,寶島極,20.00,+0.20,20.00,20.00,20.00,20.00,"4,000","80,000",3,19.80,20.00,"43,697,600",20.00,22.00,18.00
3118,進階,30.60,0.00 ,30.60,30.70,30.60,30.61,"22,001","673,530",14,30.60,30.70,"32,452,860",30.60,33.65,27.55
3122,笙泉,15.90,-0.20 ,16.45,16.45,15.90,16.24,"19,001","308,616",16,15.90,16.15,"39,299,934",15.90,17.45,14.35
3128,昇銳,12.35,-0.25 ,12.85,13.20,12.35,12.72,"464,001","5,901,213",283,12.35,12.45,"42,000,000",12.35,13.55,11.15
3131,弘塑,123.00,-1.00 ,124.00,124.00,122.00,122.84,"33,019","4,055,913",35,122.50,123.00,"24,683,843",123.00,135.00,111.00
3141,晶宏,38.90,+1.00,38.10,39.20,38.00,38.83,"3,718,404","144,392,156","2,038",38.85,38.90,"63,951,493",38.90,42.75,35.05
3144,新揚科,26.90,-0.40 ,27.50,27.70,26.90,27.24,"536,004","14,600,808",291,26.90,26.95,"100,637,750",26.90,29.55,24.25
3147,大綜,19.90,0.00 ,19.90,20.00,19.80,19.87,"13,000","258,350",12,19.90,20.00,"34,006,099",19.90,21.85,17.95
3152,璟德,250.50,0.00 ,252.50,253.00,249.50,250.77,"29,054","7,285,824",32,250.00,250.50,"69,016,200",250.50,275.50,225.50
3162,精確,27.15,-0.10 ,27.75,27.75,25.90,27.12,"12,000","325,400",8,25.55,27.15,"126,531,342",27.15,29.85,24.45
3163,波若威,38.80,-0.60 ,39.85,41.35,38.80,40.18,"2,182,207","87,680,751","1,510",38.80,39.00,"75,306,399",38.80,42.65,34.95
3169,亞信,25.95,-0.05 ,26.10,26.10,25.80,25.97,"74,000","1,921,600",49,25.90,25.95,"53,740,650",25.95,28.50,23.40
3171,新洲,13.65,-0.65 ,14.15,14.25,13.65,13.91,"71,000","987,350",42,13.60,13.70,"59,203,515",13.65,15.00,12.30
3176,基亞,25.75,-0.10 ,25.90,26.10,25.65,25.80,"92,001","2,373,775",75,25.70,25.80,"138,685,505",25.75,28.30,23.20
3191,和進,18.70,+0.05,18.65,18.70,18.50,17.03,"2,102,213","35,795,511",22,18.60,18.70,"57,194,761",18.70,20.55,16.85
3202,樺晟,14.20,-0.05 ,14.55,14.95,14.15,14.52,"834,000","12,107,150",457,14.20,14.25,"100,161,561",14.20,15.60,12.80
3205,佰研,56.90,-0.20 ,57.10,57.60,56.90,57.17,"177,400","10,141,319",146,56.90,57.00,"32,772,631",55.30,60.80,49.80
3206,志豐,21.40,+0.10,21.40,21.40,21.10,21.29,"95,846","2,040,763",62,21.25,21.40,"52,859,432",21.40,23.50,19.30
3207,耀勝,10.90,+0.10,10.90,10.90,10.90,10.90,"14,006","152,660",4,0.00,10.90,"43,259,225",10.90,11.95,9.81
3211,順達,40.00,-0.55 ,40.80,41.00,39.90,40.42,"444,361","17,961,647",288,40.00,40.10,"151,968,521",40.00,44.00,36.00
3213,茂訊,43.95,+0.20,43.75,43.95,43.50,43.68,"10,018","437,610",11,43.95,44.00,"58,685,547",43.95,48.30,39.60
3217,優群,35.45,+0.25,35.50,35.95,35.35,35.63,"295,000","10,510,750",185,35.40,35.50,"82,104,203",35.45,38.95,31.95
3218,大學光,26.90,-0.30 ,27.45,27.45,26.90,27.05,"143,001","3,867,876",92,26.90,27.05,"76,123,000",26.90,29.55,24.25
3219,倚強, ---,--- ,---,---,---,23.00,0,0,0,21.85,23.95,"23,300,417",23.00,25.30,20.70
3221,台嘉碩,23.90,-0.45 ,24.50,24.60,23.90,24.15,"671,000","16,205,150",400,23.90,24.05,"102,348,210",23.90,26.25,21.55
3224,三顧,61.70,+0.50,61.90,61.90,61.20,61.59,"157,301","9,687,421",79,61.60,61.80,"58,016,045",61.70,67.80,55.60
3226,至寶電,52.50,0.00 ,52.50,52.50,52.50,52.50,"3,020","158,544",4,52.30,52.50,"64,430,573",52.50,57.70,47.25
3227,原相,127.00,-2.00 ,130.00,133.00,127.00,130.37,"5,764,069","751,441,263","4,175",127.00,127.50,"133,923,821",127.00,139.50,114.50
3228,金麗科,44.35,-0.95 ,45.00,45.00,44.25,44.54,"869,020","38,702,094",477,44.35,44.50,"67,792,705",44.35,48.75,39.95
3230,錦明,6.15,0.00 ,6.15,6.15,6.15,6.15,"4,000","24,600",2,6.07,6.15,"107,746,524",6.15,6.76,5.54
3232,昱捷,23.05,-0.30 ,23.35,23.65,22.90,23.18,"177,552","4,116,427",121,23.05,23.30,"36,567,865",23.05,25.35,20.75
