2379,2018/06,111,-3.5,-3.1,50.81,"34,705",6.8,"-3,518","4,950",14.3,564,0.1,+564,0,0,"35,269",6.9,"-2,955","4,950",14,56
2382,2018/06,53.5,+0.5,+0.9,386.3,"503,685",13,"+20,000",0,0,18,0,0,0,0,"503,703",13,"+20,000",0,0,28.3
2387,2018/06,16.5,+0.85,+5.4,22.03,"65,713",29.8,"+3,465",0,0,0,0,0,0,0,"65,713",29.8,"+3,465",0,0,13.9
2388,2018/06,50.4,+10.95,+27.8,49.33,"60,214",12.2,-126,0,0,0,0,0,0,0,"60,214",12.2,-126,0,0,6.5
2404,2018/06,66.4,+2.2,+3.4,23.82,"28,699",12,"+14,989","6,500",22.6,0,0,0,0,0,"28,699",12,"+14,989","6,500",22.6,30
2413,2018/06,37.9,+11.2,+41.9,12.74,"47,766",37.5,-45,"9,353",19.6,0,0,0,0,0,"47,766",37.5,-45,"9,353",19.6,1.1
2414,2018/06,21.95,+0.65,+3.1,16.17,"29,869",18.5,"-1,471","3,200",10.7,0,0,0,0,0,"29,869",18.5,"-1,471","3,200",10.7,22.6
2419,2018/06,21.85,+0.25,+1.2,24.71,"16,746",6.8,+73,"2,083",12.4,5,0,0,0,0,"16,751",6.8,+73,"2,083",12.4,10.9
2421,2018/06,43.2,+4.2,+10.8,25.09,"18,809",7.5,-500,"1,000",5.3,24,0,0,0,0,"18,833",7.5,-500,"1,000",5.3,30.5
2426,2018/06,23.95,+8.1,+51.1,30.06,"22,274",7.4,"-1,611",0,0,0,0,0,0,0,"22,274",7.4,"-1,611",0,0,11.5
2434,2018/06,15.6,-1.3,-7.7,7.06,"20,108",28.5,"-17,797",0,0,0,0,0,0,0,"20,109",28.5,"-17,797",0,0,1.2
2438,2018/06,9.5,+0.37,+4.1,9.522,"43,790",46,"+7,267",0,0,56,0.1,+56,0,0,"43,846",46,"+7,323",0,0,0.1
2440,2018/06,12,+0.9,+8.1,13.91,"58,266",41.9,-120,0,0,0,0,0,0,0,"58,266",41.9,-120,0,0,0.1
2449,2018/06,27.75,-0.35,-1.2,122.3,"91,851",7.5,+100,0,0,0,0,0,0,0,"91,851",7.5,+100,0,0,47.1
2451,2018/06,84.6,-1.3,-1.5,43.08,"16,909",3.9,-166,0,0,0,0,0,0,0,"16,909",3.9,-166,0,0,20
2454,2018/06,300,-11.5,-3.7,157.9,"45,230",2.9,+54,0,0,236,0,0,0,0,"45,466",2.9,+54,0,0,60.1
2460,2018/06,15,+1.7,+12.8,16.92,"43,930",26,"-21,965",0,0,0,0,0,0,0,"43,930",26,"-21,965",0,0,1.4
2462,2018/06,28.85,+0.9,+3.2,14.25,"52,744",37,+741,"1,100",2.1,0,0,0,0,0,"52,744",37,+741,"1,100",2.1,1.3
2466,2018/06,32.5,-0.8,-2.4,15.63,"16,118",10.3,"-10,273","4,542",28.2,0,0,0,0,0,"16,118",10.3,"-10,273","4,542",28.2,12.3
2478,2018/06,119.5,+13.5,+12.7,19.17,"31,723",16.5,-12,"3,971",12.5,0,0,0,0,0,"31,723",16.5,-12,"3,971",12.5,5.5
2481,2018/06,57,-3.6,-5.9,36.98,"66,222",17.9,+782,"15,000",22.6,11,0,0,0,0,"66,233",17.9,+782,"15,000",22.6,14.6
2495,2018/06,12.85,-0.35,-2.7,27.97,"52,246",18.7,"-1,937",0,0,0,0,0,0,0,"52,246",18.7,"-1,937",0,0,16.8
2509,2018/06,33.9,+2.8,+9,15.18,"25,070",16.5,"+1,297",5,0,30,0,0,0,0,"25,101",16.5,"+1,297",5,0,1.9
2511,2018/06,11.1,-0.4,-3.5,162.3,"431,180",26.6,0,0,0,17,0,+17,0,0,"431,197",26.6,+17,0,0,9.4
2535,2018/06,23.3,-2.9,-11.1,24.34,"22,241",9.1,-200,"4,400",19.8,0,0,0,0,0,"22,241",9.1,-200,"4,400",19.8,22
2605,2018/06,15.3,-2.15,-12.3,56.83,"28,034",4.9,+120,0,0,0,0,0,0,0,"28,034",4.9,+120,0,0,31.8
2609,2018/06,9,-0.49,-5.2,232.3,"1,079,490",46.5,"+611,514",0,0,155,0,0,0,0,"1,079,645",46.5,"+611,514",0,0,5.1
2612,2018/06,28.2,+0.1,+0.4,19.75,"38,393",19.4,+650,"11,046",28.8,0,0,0,0,0,"38,393",19.4,+650,"11,046",28.8,2.5
2617,2018/06,16.75,-0.1,-0.6,41.73,"161,176",38.6,"+9,535",0,0,0,0,0,0,0,"161,176",38.6,"+9,535",0,0,2.7
2701,2018/06,12.9,-0.1,-0.8,43.88,"87,578",20,"-87,591",0,0,0,0,0,0,0,"87,578",20,"-87,591",0,0,0.4
